username,rating,review,date,thumbs_up,sentiment
Vincen,1,Alamat tujuan suka ganti sendiri mau gamau jadi lebih mahal 😡,2025-11-29,1,negatif
raffa rapo,4,Maps nya di akuratin dong,2025-11-29,0,positif
Wahyu Perkasa Damanik,1,untuk laporan pengaduan customer terlalu bertele tele dan saya blom ada solusi atas kendala saya yang ditipu driver,2025-11-29,2,negatif
Sunaryo Ajo,5,"mantap gojekkkk,,,jaya slaluuu",2025-11-29,0,positif
Nabila Adinda Putri,1,"Gojek, mohon diperbaiki realtime saat pemesanan gofood ya. karena pesanan sedang diantar tapi tidak menunjukan maps tracknya. jadi tidak terhitung waktu telat pengantaran. saya jadi bolak balik keluar rumah untuk memastikan driver sudah sampai atau belum.",2025-11-29,2,negatif
David Subiyanto,1,klo kejkt masuk yg byr nnti penumpang atau draiver,2025-11-29,1,negatif
Fadhilah,5,bagoooosssss,2025-11-29,0,positif
Farid Reza,1,"skr ngga jelas car driver gocar ini laju2 dan tdk sopan , mobil bau rokok , lalu mobilx ditempelkan sticker aplikasi merk sebelah yg memang bnyk driverx ngga jelasnya, mohon untuk dicek pak car drivernya lokasi balikpapan",2025-11-29,1,negatif
Andi Dewantara,5,"mudah dipakai.., dan murah",2025-11-29,0,positif
Manisi,5,love lve bgt si buat gojek,2025-11-29,0,positif
Pengguna Google,2,setelah 2x update terakhir kok malah aplikasi jadi berat dan lemot ya? sering tertutup sendiri juga....jadi susah Makai nya.,2025-11-29,2,negatif
Saskiya Aprilliya,4,"sekarang pesen gocar minimal harus 30 menit sebelum berangkat drivernya lelet"" banget sumpah kemarin sampe nunggu 1 jam coba bayangin ga nyampe' padahal titik jemput ga terlalu jauh dari posisi driver di chat ga di baca tapi ga mau di cancel aneh. perbaiki lagi drivernya lelet semua udah sering kaya gini ga gerak' giliran di chat baru gerak anehh lelet semua!",2025-11-29,1,positif
Dani Alwi,5,good pokoknya 👍👍👍,2025-11-29,0,positif
Yana Kunjat,5,pake gojek selalu ada promo jadi bisa ongkos nya bisa lbh murah makasih gojek,2025-11-29,0,positif
Karseno Seno,5,cepat dan lugas,2025-11-29,0,positif
Clarita Ank,1,"drivernya manja semua, sering tiba² cancel gjlas, slalu g ad uang kembalian",2025-11-29,2,negatif
Althafurahman Dima,2,harga tarif nya makin hari makin mahal..diskon pun cuma 500perak,2025-11-29,1,negatif
Steven Reareo,5,sesuai dengan keprluan,2025-11-29,0,positif
Zikri ikyu Ramadhan,1,pelayanan gojek sudah tidak bagus. saya order gofood jam 01.30 ke resto yg 24jam dan penyajian nya cepat. masa 2jam saya baru dapat driver. tolong perhatian nya ke pada pihak aplikasi gojek. tolong pelayanan diperbaiki lagi. tks..,2025-11-29,2,negatif
Zkychll,1,entahlah apakah driver sengaja tidak melakukan pick up sehingga riwayat transaksi saya tidak tercetak. plat motor tidak sesuai dengan aplikasi dan tidak ramah,2025-11-29,1,negatif
Anisa Putri,1,"Aplikasinya gojek sangat buruk!!! padahal baru bgt beli paketan data, sinyal bagus, aplikasi dihp tidak banyak🙄",2025-11-29,1,negatif
WAⱯM,1,aplikasi anjenk,2025-11-29,1,negatif
WIND CINEMA 21,5,Gojek memang MANTAP👍,2025-11-29,0,positif
Putri Dwi Purnamasari Syah,1,"halo gojek, untuk gofood dengan kendala tidak dapat driver, durasi 1 jam terlalu lama untuk kami customer membatalkan pesanan. kalian pikir nunggu sejam buat dapat driver, belum buatnya, ngantarnya bisa sampai 2 atau 3 jam?? keburu asam lambung atau pingsan. iya kalau driver gk cancel pesanan, harus nunggu lagi",2025-11-28,3,negatif
Yosa Permana,5,"Cuman 1 yang kurang,titik nya suka pindah sendiri,kedepan nya bisa di optimalkan biar driver gk kesulitan cari titik nya.",2025-11-28,0,positif
Aliefya Izzati,3,"pleaseee gojek tolong diperbaiki yaa... akunku tiba-tiba bgt keluar... habis itu pas masuk lagi gak bisa.. udh ngikutin panduannya.. ganti nomer, cek email, katanya lagi pemulihan, udah update yang baru tetep gak bisa. katanya server sibuk... dicoba lagi setengah jam kemudian, ttp aja gak bisa masuk. lagi butuh kayak gini susah emang😭😭🙏🏻",2025-11-28,18,netral
Bayu Udi Sukmono,5,good jobs....,2025-11-28,0,positif
Rahmat Hidayatullah,5,Terimakasih Atas Konfirmasi dan Vertipikasinya,2025-11-28,0,positif
wawan kartiwa,5,Aplikasi yang mudah digunakan. Detail dalam setiap transaksi.. mudah dalam menemukan lokasi titik antar dan jemput nya.,2025-11-28,1,positif
Feri Irawan,5,mantap euy...,2025-11-28,0,positif
Solideo Sembiring,1,"pesan makanan jam 5 sore sampai jam 10 malam ga dapat² drivernya, padahal cuaca baik dan ga ada kendala sama sekali, hapus aja driver lo yang pilih² orderan, ga berguna sama sekali driver² gadungan",2025-11-28,1,negatif
Telly Anggraeni,2,"ini kenapa ya sekarang aplikasi gojek ada fitur titik jemput, memyebabkan driver jadi ga sesuai sama titik alamat. dari titik alamat ke titik jemput jaraknya lumayan jika jalan kaki",2025-11-28,1,negatif
Windo barus21,1,"aplikasi apaan lah ini, mesan makanan aja 2 jam, aku tadi udah mesan trus nunggu, dibilang lagi disiapkan makanannya, trus udah dapat driver di suruh nunggu, total 50 min kurleb, trus ku tunggu 20 min, malah reset lagi malah dibuat lagi pesananya, elah kacau emang ga worth aplikasi ini, buruk kali mesen lagi 50 menit sampe sekarang masi nyari driver, hadehh next ga bakal mau lagi order pakai gofood, mending aplikasi lain aja lebih fast dan JELAS",2025-11-28,1,negatif
Natalia Florencia,1,"fitur perluasan pencarian driver tidak berguna, menunggu 1 jam tidak ada driver, mau cancel juga tidak bisa.",2025-11-28,1,negatif
artamevia,1,gimna nih saldo ada 1juta tapi hrus gopay plus sdngkan untuk verifikasi ditolak Mulu.,2025-11-28,1,negatif
edi prasetiyo,5,"Alhamdulillah, Jangan Kebanyakan Potongan",2025-11-28,0,positif
Haikal Zaky,5,di delay teros padahal udh yg express giliran udh makan baru di siapin driver nya,2025-11-28,0,positif
Savitri Nugrahayati,1,"Katanya kalau butuh bantuan silahkan hubungi di menu bantuan pada aplikasi. bantuan yang mana? saya chatt yg balas hanya robot. minta chatt with live agent, tidak dibalas sama sekali. saya pesan sekarang, jikalau gadapet driver, aplikasi tetap mencari hingga sejam kedepan. sementara aku buru2. ngecancel gabisa, minta tolong resto cancel juga gabisa. tiba tiba di menit udah hampir sejam malah ada driver,sementara aku udah gk di posisi. parah banget",2025-11-28,1,negatif
shandie eka putri,1,"Kelamaan waktu buat batalin pesanan gofood, harus nunggu sejam buat nunggu driver. Ini udah hampir sejam dan belum juga dapat driver dan ga bisa dibatalin juga, sedangkan resto buatin makanan kalo udah ada driver yg ditugasin. Bisa bisa jam 11 malam baru makan kalo ky gini, aku liat di ulasan lain balasannya cuma minta maaf terus terusan tanpa ada perbaikan",2025-11-28,2,negatif
Angky Antonius,1,aplikasi hanya bisa mengambil data pribadi,2025-11-28,1,negatif
Ragil Adi putra,5,aplikasi yang sangat bagus dan worth it,2025-11-28,0,positif
zakk das,1,"Dear kostumer klo ngorder jngan kebiasaan hemat apalagi kondisi macet hujan, kondisi normal gpp dah udh hujan macet ngorder hemat apa lg tunai potongannya gk ngotak...",2025-11-28,3,negatif
Reno Aditya,1,"semakin lama semakin gak ada otaknya kalau bikin pelayanan!!! sedang lapar pun harus dibuat menunggu 2 jam karena terkendala pencarian driver. Pake paket hemat tidak manusiawi kalo pake paket express dapat driver lumayan cepat tapi harga gk ngotak. Makin lama makin tidak recommend, banyak diskon dan promo tidak sesuai apk!! sampah!!!",2025-11-28,13,negatif
Adi Kurniarta,5,mantap drivernya ramah,2025-11-28,0,positif
Linna Er,5,pilihan tepat buat yg mau cepat,2025-11-28,0,positif
Galih Purwandi Hidayat,2,sekarang fitur kirim foto di galeri untuk driver saat pesan gofood ngga bisa ya jadi harus foto langsung,2025-11-28,1,negatif
Muhammad Syahrurudi,5,josss jisss,2025-11-28,0,positif
Bill Trison Sitorus,1,"redirect lokasi buruk. saya tidak didalam gang, di maps didalam gang. aplikasi gajelas",2025-11-28,1,negatif
mohamad arif,1,fitur chat cs tp ga bisa ngetik,2025-11-28,1,negatif
Fz Cooper,5,Mempermudah akses,2025-11-28,0,positif
Gede Giri,5,tolonk ksik kes di tas 200 ke atas saya pkai byr mtor ini,2025-11-28,0,positif
Aina Zhafira Chaerunisa [A.Z.C],4,sangatt butuhh banget yaa klo untuk anak sekolah apalagi dengan harga yang murah / terjangkau,2025-11-28,0,positif
Bima,1,"kecewa, kalo mau mesen apapun harus update terus, dikira tiap orang punya kuota gede apa, tolong ya, kalo mau mesen apa apa ga usah update dulu, tiap update ga ada yang penting, bikin memo penuh aja ga suka bet, mending make grab",2025-11-28,2,negatif
Lilis Ratih,5,Terbantu untuk aktifitas & pengiriman. aplg skrg apk nya makin mudah digunakan,2025-11-28,0,positif
Yuni Efendi,1,semuanya jadi mahal 2x harga normal,2025-11-28,1,negatif
Mustadho Firoh,5,GACORR......,2025-11-28,0,positif
Hendra Kenthung,5,baik dan sangat membantu,2025-11-28,0,positif
Andi Tel,5,"ngga bnyak kata, cuman 1 dari semua selama aku pake aplikasi ini. MANTAPPP",2025-11-28,0,positif
Vino Pratama,5,"Mantappp ojol favorite,,cmn klu pas hujan susah,, gojek buat anter anak ngaji smga pahala nya jg mengalir ke tiap driver nya🤲🙏",2025-11-28,0,positif
Ari Nur Rahman Hakim,1,pesan food lambat,2025-11-28,1,negatif
ahmad fauzan,5,"gojek keren. aku sering dpt promo diskon. Gocar, juga Goride. tapi sayang ga ada pilihan untuk top up E-money Brizzi. 💵. Sayang sekali Promo untuk pengguna kartu Debit BCA tidak ada. 😔🏧",2025-11-28,0,positif
Yudha Cakty,5,terima kasih sangat membantu 🙏,2025-11-28,0,positif
Herman dtpeduli,5,menolong skali ketika urgent,2025-11-28,0,positif
Frans A.H.,2,"gua beli makan n si driver double order, dan double ordernya jauh banget.... gua beli makan di gading dan gua cuma 1 km dari tempat, tapi si driver malah ke sunter dulu buat anter yang jauh... ini aneh banget kan dari gua lebih deket.... dan ini bukan ekonomis...",2025-11-28,1,negatif
rizki chandra,5,wah luar biasa aplikasi ni. TPI kok saya gagal trus mengajukan paylater wkwkw,2025-11-28,0,positif
Herman Herman,4,lumayan da yg anter makan lgi musim hujan,2025-11-28,0,positif
Agung Kristianto 21,1,"kebanyakan pembaruan orderan kosong blong, kemarin habis pembaruan sekarang udah pembaruan....",2025-11-28,1,negatif
nurina dwi agustin,5,goodd [edit],2025-11-28,1,positif
Ion Aliando,1,cari driver buat gofood sekarang susah bgt sampe sejam belum dapet juga,2025-11-28,1,negatif
Febriyanto Anto,1,lagi order gofood lupa pilih cara bayar trus mau cancel atau ganti cara bayarnya biar ga cash ga bisa padahal belom satu menit dan belom ada driver yg di tunjuk untuk nganter makanan,2025-11-28,1,negatif
Guntur Irawan,5,sering bermasalah ketika hujan. tolong perbaiki. atau saya pindah ke aplikasi sebelah,2025-11-28,0,positif
Alya Ariyani,5,selalu memuaskan..jgn lupo perbanyak lagi diskonnya,2025-11-28,0,positif
Elly Sabrina,5,"Saya order goride jemput anak di sekolah dan antar sampe rmh, di sekolah mau nunggu sebentar krn ternyata anak belum keluar kelas, anak saya dianter pulang dg selamat...terima kasih banyak...",2025-11-28,0,positif
E D,5,Oke Lah... 👍,2025-11-28,0,positif
Carinesetya Putri,3,jelek mahal mahal,2025-11-28,1,netral
sutikna sutik,5,"Merasa puas, dengan adanya Gojek ke mana2 gampang",2025-11-28,0,positif
Febby Floriani Putri 111,5,FINALLY ITS GOOD AGAIN,2025-11-28,0,positif
Ade,1,kenapa chat dgn driver selalu tdk bisa....,2025-11-28,1,negatif
Ahmad Aripin,5,semoga saya di beri akses gopaylater,2025-11-28,0,positif
Irma Julita,1,"saya kasih bintang 1 karna driver untuk pemesanan gofood terlalu lama ditemukan,saya sudah menunggu hampir satu jam tapi belum ditemukan drivernya,dibatalkan tidak bisa.disini katanya bisa dibatalkan setelah 20 menit menunggu kalau driver tidak ditemukan tapi sudah sejam saya menunggu tapi tidak bisa dibatalkan!saya juga chat dg cs gojeknya tp tidak bisa dibatalkan!maunya apa,saya disuruh nunggu entah sampai kapan drivernya ditemukan,sementara perut lapar keluarga saya juga menunggu makanan itu.",2025-11-28,1,negatif
Alif Bukhori,1,"Driver lelet mlh diem aja KLO kitaa mesen ,",2025-11-28,1,negatif
Andika satriya Nugraha,5,sangat membantu 👌👌👌,2025-11-28,0,positif
Bayu Vibrata,4,untuk skrg Oke la,2025-11-28,0,positif
Ade Mustopa,5,mntap orang ny sopan dan baik trimksih nympe tujuan dgn slmat,2025-11-28,0,positif
Rizkyco pratama,3,gopay pinjam limit nya gedek tpi gak bisa di pkek atau dipinjam,2025-11-28,1,netral
ma Permana,5,trimakasih udah meringankan,2025-11-28,0,positif
azfarZ,5,GOride GAcor,2025-11-28,0,positif
Luthfi Raffelstha,1,"sudah berkali-kali pesan makan, gk di ACC oleh driver. sampai lebih 2 jam, UI gojek terbaru bikin ribet. walau udh pakai layanan kilat masih seperti itu juga",2025-11-28,1,negatif
Smart Central,5,gojek selalu menemani dan menjanjikan,2025-11-28,0,positif
Jacky Hong,3,masa dah pesen berkali kali ampe setengah jam gak gapernah dapet juga padahal tempat saya bukan kampung lo jalan lintas masih daerah kota binjai bisa gak jumpa tiap pesan gojek,2025-11-28,1,netral
Asep Suhendar,4,lumayan memuaskan,2025-11-28,0,positif
Iwan Gunawan,5,semua pelayanannya profesional,2025-11-28,0,positif
Ngadi Yanto,5,sangat senang mudah tapi tarifnya agak mahal,2025-11-28,0,positif
Nasyifa Azahra,5,"top banget dehhh pokoknya, aku saranin kalian juga dwonload!!",2025-11-28,0,positif
SuKmo,1,"ini aplikasi bagaimana driver ojek saya jarak tempuh dari saya untuk penjemputan hampir lebih dari 2 km, katanya ada fitur pencari terdekat kenapa jaraknya sampai sejauh itu apakah itu dekat?",2025-11-28,1,negatif
virgi,3,jauh amat dapat drivernya. biasa cuma 5 menit ini lama. padahal lagi buru2. drivernya banyak tapi dipilihin yang jauh. bikin orang telat .,2025-11-28,1,netral
Araminta maruf,1,"cukup merugikan, tanpa saya tau saya tidak sengaja ke pesan double order di go ride, sehingga saat di jalan tiba tiba ditelpon driver padahal merasa tidak memesan. cukup merugikan saya dan driver gojek",2025-11-28,1,negatif
Mega Wati,1,"Kalau naik mobil kira-kira minimal berapa orang, dan biayanya apakah dihitung perkilometer jarak tujuannya",2025-11-28,1,negatif
omsih Maemunah,1,"jika memang tidak bisa beroperasi 24 jam untuk gocar jangan menyediakan jasa gocar 24 jam, sangat tidak memuaskan sudah 5 kali pesan gocar dengan hasil sama semua driver tidak ada yang siap sedia untuk melakukan delivery, jika ada keperluan mendesak untuk segera ke rumah sakit bagian IGD sangat tidak di rekomendasi menggunakan jasa ini sangat lambat, menghambat sekali",2025-11-28,1,negatif
Cheria Suwardi,5,sangat memudahkan saat kelaparan tengah malam,2025-11-28,0,positif
Rangga dermawan,1,"merugikan Konsumen dan Mitra Driver nya aplikasi penuh tipu dan Rakus, Pelangan bayar penuh yang di Terima Mitra nya hanya sekian persen parah Aplikator",2025-11-28,1,negatif
Muhammad Shafiq,1,"PERASAAN GOPAY PINJAM GA PERNAH TELAT, PAS LUNAS MALAH GA BISA MINJEM LAGI . DEV NYA NYABU APA GIMANA ? LOGIKA MAIN GA TU DEV?",2025-11-28,1,negatif
Mifs_zenss12,5,mantap dengan aplikasi ini buat mempermudahkan saya,2025-11-27,0,positif
Fitriakh,5,sangat membantu masyarakat,2025-11-27,0,positif
Xsaraki,4,cukup terbantu,2025-11-27,0,positif
Kevin Ackerman,1,"WOI KALO NGGA NIAT KASIH FITUR ""CS"" PAKE AI MENDING GK USAH, GK BERGUNA DAN TIDAK MEMBANTU",2025-11-27,1,negatif
Ms Dwi,3,aplikasinya udah oke tp untuk gofood please kasih keterangan halal dan non halal nya please,2025-11-27,1,netral
Muhammad Sendi,5,Senenggg bisa kesana kesini pake aplikasi ini,2025-11-27,0,positif
Aldio Adra,1,APK TIDAK BAGUSS !!!,2025-11-27,1,negatif
Mutiara Laura Claudia,1,"Kenapa deh buat make diskon gofood saldo gopaynya harus sesuai total harga makanan, padahal kan pada akhirnya bakal kepotong diskon juga. padahal kemaren"" ga gini deh, setelah beberapa hari gak make tiba-tiba jadi kaya gini, nyusahin bgt buat anak kos, jadi harus keluar duit banyak bgt yg pada akhirnya duitnya nyisa di gopay",2025-11-27,2,negatif
Grace leen,1,"luarbiasa sameday dishopee ya parah melebihi sameday jkrta bandung kmrn saya kirim dr jkrta ,ini td siang saya beli BRG dishopee kirim dr jam 2,17 blm smpai juga hubungi chat shopee ga bisa bantu dan parahnya ga jelas 23 menit pengantaran dr sore td ga bergerak JD gatau kapan dianter ,buruk sekali samedaynya gojek ya ,maunya instan biasa TPI layanan toko tidak menyediakan Tidka rekomen ya pke layanan ini pdhal byr ongkos dishopee bukan gratis !",2025-11-27,1,negatif
restu Ibu,1,"Seolah dipaksa langganan gojek plus. sudah di close tau2 pas tagihan keluar gojek plus. sya kira kepencet, oke lah. setelah itu sudah sya putus langganan nya, eh selang brapa lama pas order gofood masuk lagi tagihan. mending pakai app lain aja.",2025-11-27,1,negatif
Sidiq Salsabila,5,"okelah walau akun aktif , taoi riwayat sama gooaykaternya malah ga ada",2025-11-27,0,positif
Nrwan Tok,1,pnqk dinggo,2025-11-27,1,negatif
Karlina Febiana,1,"benci banget sama notif gopay dari gojek yang ""gak bisa bayar 100.000 ke google play pake gopay karna saldo kurang"" itu maksudnya apasih? padahal saya gapernah bayar topup/langganan di play store sama di gojek, tolong hentikan/hapuskan, saya risih, soalnya kalo nanti saya topup gopay bisa saja langsung kesedot/hilang uang saya, gimana ini????",2025-11-27,1,negatif
Pramusinta,5,Sangat membantu dalam setiap situasi 👍👍👍👍👍,2025-11-27,0,positif
Salma Listina,4,kadang murah kadang mahal siharga nya hihi,2025-11-27,0,positif
benben yogyog,1,"aplikasi makin kesini makin mengecewakan, 3 x ditolak driver g niat kerja!!!!!! 👎👎👎👎👎👎👎👎👎👎👎🏾",2025-11-27,1,negatif
elkimoy,1,pantesan mau diakusisi grab. aplikasi ampas. lg butuh cepet pake verif wajah segala. bye gojek. GWS,2025-11-27,2,negatif
W. Rosa Farida,5,"Pelayanan cepat, driver ramah, kendaraan bersih, pilihan rute terbaik",2025-11-27,0,positif
Sari Nurlaili Madrani,5,overall it's ok,2025-11-27,0,positif
Restu feista,1,top up gopay ga masuk udah 2 hari,2025-11-27,1,negatif
Amar Amar,5,bagus dan tepat,2025-11-27,0,positif
Sebri Yanto,5,keren sangant membantu,2025-11-27,0,positif
Riswanto Bae,1,terus dan terus kalau order gofood pasti dpt driver yang susah di hubungin. lg laper laper malah dpt driver ga jelas,2025-11-27,1,negatif
Ge,1,"Nih ya untuk para driver gojek yang dapat orderan pengiriman instan dari aplikasi marketplace, jangan pilih-pilih oderan napa sih. Merugikan pembeli tau, nunggu berjam-jam, giliran sudah dapat driver eh dibatal kan terus menerus. lu pada harus iklas dapat orderan apapun ya syukuri, malah pengen jarak dekat ongkos tinggi. jangan gitu sih",2025-11-27,1,negatif
Abdul Rojak,4,memudah kan perjalanan,2025-11-27,0,positif
lely firmasari,5,mantap sangat memabantu,2025-11-27,0,positif
Andri R,5,"kalo bisa mungkin adakan fitur block / unblock driver , ohiya suara telpon tapi ga bisa diangkat",2025-11-27,0,positif
Novella M Djaja,5,Sukaaaaa....,2025-11-27,0,positif
Vatli Rivaldianto,1,Ketika sulit untuk dapat driver malah di suruh nunggu sampe 1 jam baru bisa dibatalkan. padahal cuman mau pesan makanan doang malah harus nunggu 1 jam. keburu lapar woii!!!,2025-11-27,1,negatif
Ester Linda,5,puas sekali.trmksh.Sukses selalu yaaa,2025-11-27,0,positif
SIGNAL HT-ITB,1,"Goblog suka autotip sendiri, dibuat yg clear lah tombolnya.",2025-11-27,1,negatif
Phyllo Coffee,5,makananya mantap enak porsinya ok pedasnya pas stafnya ramah baik thank you,2025-11-27,0,positif
maria panggabean,1,Pesan makanan lama sekali sampai dingin. ditanya tukang ojeknya kata nya double order. padahal saya pesan reguler. tidak rekomen skrg pesan di gofood,2025-11-27,4,negatif
AMONIO ZEBUA,1,daftar akun goride data saya di tolak,2025-11-27,1,negatif
Des_,2,"MAHAL BANGET Pgn beli wow spageti 1 aja 19rb totalnya, semoga ongkirnya diperbaiki",2025-11-27,1,negatif
Ibnul Qoyim,5,Almost there,2025-11-27,0,positif
Reza Dwi,2,Untuk gopay pinjam. Tolong untuk sistem penagihannya jangan pakai ancaman. Perkara lupa bayar lewat beberapa hari aja doang juga.,2025-11-27,1,negatif
Niknik Melani,1,pinjaman sudah dilunasi tidak bisa narik lagi,2025-11-27,1,negatif
Yons Maryono,5,jossss mantap,2025-11-27,0,positif
Pepi Il Pinturichio,1,"Ngebug mulu, sekarang gak bisa donwload bukti Gosend",2025-11-27,8,negatif
Rohim Oim,1,"buat castamer gojek,jgn pas ujan aja lo order maxim cri yg murah,lo nikmatin aj argo lonjakan ny berasa kn..cs miskin",2025-11-27,1,negatif
Aisyanda Zalfania,1,galak galak drivernya. tolong diperhatikan lagi,2025-11-27,1,negatif
apa saja 99,1,"buat para customer jangan suka pakai layanan yang instant"" banyak potongan di ongkos nya.potongan ride dari 20-35%. apalagi sekarang ada sistem slot gofood gosend goride.jadi yang driver reguler di bisukan karena tidak ikut slot😂😂😂",2025-11-27,1,negatif
Mirzano Rafael,4,harga murah dan banyak promo plus penjemputan tepat waktu,2025-11-27,0,positif
Avive Five,1,GILA NIH GOJEK! MASA CUSTOMER DISURUH NUNGGU BERJAM² AGAR RESTO MENDAPATKAN DRIVER. HARUSNYA KAYAK SHOPEEFOOD WAKTU MENUNGGU HANYA 12 MENIT PADAHAL ONGKIR SHOPEE 16 RIBU. LAH GOJEK ONGKIR 30RB KARNA PREMIUM TAPI PELAYANAN MERUGIKAN CUSTOMER! ORANG LAPAR KOK DISURUH NUNGGU BERJAM² KEBURU MATI KELAPARAN ANAKKU! MAU DICANCEL GAK BISA!,2025-11-27,3,negatif
muthia 17,1,"driver sulit didapatkan tapi fitur untuk batalkan pesanan tidak bisa, masa iya harus nunggu waktu estimasi untuk mendapatkan driver selama 1 jam",2025-11-27,1,negatif
Muhaamad Paisal,1,"saya punya pengalaman yg buruk,saya memesan gojek buat teman saya dengan harga 54rb,dan anehya dia mengantar ya tidak sesuai map yg dikasih tau,dan meminta uang seharga 70k sedangkan harga diaplikasi 54rb,pantes dia pas datang meminta melihat hp saya ternyata mau mengcancel y dan saya disitu tidak tahu,tolong kasih pelajaran buat gojek ya saya punya ss an ya",2025-11-27,1,negatif
Kenzie Azkanio,5,bagus buat alat transportasi,2025-11-27,0,positif
Ardia Indah pratiwi,1,fitur GoFood nya masih sangat kurang dan butuh perbaikan,2025-11-27,1,negatif
Sultan Saladin Daviesta,5,"saya berharap di gojek mulai terdapat fitur qris seperti di grab, karena fitur itu sangat memudahkan para penumpang untuk membayar dari e wallet lain",2025-11-27,3,positif
Ahmad Aprianto,5,sangat mendukung aplikasi ini,2025-11-27,0,positif
gede mertama,5,gampang dan drivernya sopan,2025-11-27,0,positif
Ramskhy Maheza,5,mantap jiwa,2025-11-27,0,positif
Tedi Julian,5,keren dan mantap memang kalau sudah pakai aplikasi GO-JEK,2025-11-27,0,positif
sudi almukron,5,masih relatif mudah meski kasang kalau pas hujan agk susah nyantolnya,2025-11-27,0,positif
candra edison,5,gacorkan bos,2025-11-27,0,positif
Arif Priyanto,5,memudahkan mengantar keluarga dari jarak jauh,2025-11-27,0,positif
Dwi Annisa Amaliya,4,semoga selalu terbaik,2025-11-27,0,positif
Kiki Moker,5,saya suka apk ini karna amanah,2025-11-27,0,positif
kento dashi,5,jd mudah kemana2,2025-11-27,0,positif
ZAIN'S Consultan Agency,5,meskipun saya bukan pengguna aktif alias pengguna pasif. Aplikasi ini sangatlah membantu pada saat genting. Terima Kasih Gojek beserta Drivernya. Semoga Kru Gojek & Driver Gojek selalu sukses dan profesional dalam melayani Konsumennya.,2025-11-27,0,positif
KuRnia Lestari,5,saya suka aplikasi ini bisa buat antar jemput saya kemana aja dan harga makanan nya kadang diskon besar,2025-11-27,0,positif
dicky ardiansyah,5,terbaik disegala urusan dan hemat pula,2025-11-27,0,positif
Nungky Agrati,5,Pelayanannya bisa diandalkan,2025-11-27,0,positif
himan galan fadilah,5,sering sering bg ngasih diskon aku suka,2025-11-27,0,positif
rafly ilyasa,5,secepat kilatt,2025-11-27,0,positif
Lidia Siswanti,5,gojek sangat membatu aktivitas buat kita kita yg tidak memiliki kendaraan 👍👍,2025-11-27,0,positif
Syasya Aliza putri,5,"APLIKASI NYA LUCU BANGETTTTTT 😭😭🤍🤍 driver nya baguss bagus (cakep), cepet bangettt penjemputan nya dan kebersihan drvier di jaga mulu 😩💚",2025-11-27,0,positif
Islami Rantika Sari,5,"Membantu di saat urgent,sering2 kasii promo yaa",2025-11-27,0,positif
Angie,3,"sebenarnya sudah bagus, tapi ketika membatalkan pencarian driver menggunakan gopay, gopaynya terpotong secara langsung",2025-11-27,1,netral
Kevy Bosiani020,5,"terjangkau harga nya, pelayanan nya pun cukup baguss. mantap",2025-11-27,0,positif
MAMA Ema,5,"penjemputan cepat,pelayanannya mantap",2025-11-27,0,positif
dindaaisya almira,5,"ngebantu bgd buat pelajar, murah dan gampang pesennya",2025-11-27,0,positif
Sawai Selima,5,kasih orderan ke Drive jangan j terlalu jauh sama driver.kasihan driver nya jemput caustamer jauh-jauh.ongkosnya ga sebrapa,2025-11-27,0,positif
Muhammad Iqbal Ramadhan,1,"aplikasi susah kalo uda hujan orang di suruh tunggu sampe 2jam hanya untuk beli makanan, provider yg mengecewakan",2025-11-27,1,negatif
Heru T,1,"apk ga guna, 2 jam gw nunggu ga ada drive, klk ga ada lu tutup aja, jd org ga berharap",2025-11-27,1,negatif
Yogi Mulyadi,2,"gak jelas Gojek.. saya pakai gopay pinjam 2x pinjam lancar.. pinjam ke 3 kali di tolak,",2025-11-26,1,negatif
Agung Herkules,5,keren lah pokok nya gojek...nggak ribet,2025-11-26,0,positif
azamganteng,1,"mengapa saya memberikan bintang 1 karena ada masalah di sistem aplikasi gojek menurut saya,naik kereta di tujuan stasiun tiba jam 21:15 di tiket,lalu saya pesan gocar terjadwal jam 21:30/21:40. ada masalah trouble mengakibatkan tiba jam 19:35 baru sampai stasiun tujuan, ternyata di aplikasi tiba-tiba sudah di pesankan/dapat driver jam 21:10.disini masalah nya saya ga enak sama driver karena nunggu lama dan saya jadi terburu2 kalau saja jam 21:30/21:40 baru dapat jadi lebih nyaman. semoga dibaca",2025-11-26,4,negatif
Hernah,5,layanan cpt,2025-11-26,0,positif
Chevy Husnul Hayat,5,aplikasi bagus,2025-11-26,0,positif
Sudaryono Susanto,1,"buat para pemakai jasa gofood tolong di pahami,orderan anda lama dapat driver bukan di karena kan ga ada driver tp gojek mencari driver yg ikut program tarif murah dgn tarif 5rb per 4km walau saat anda order ada driver dekat resto itu tp driver itu ga ikut program tarif murah ga bakal order jatuh ke driver itu",2025-11-26,2,negatif
Heri Hermawan,1,gak bisa pinjam lagi padahal sebelum jatuh tempo di lunasi aneh kalo gak niat minjemin jangan di adakan gopay pinjam donk kecewaaaa...saya ini driver Go-Jek padahal dari 2017 sudah 8 tahun,2025-11-26,1,negatif
Angelica Balqis,1,"Terlalu lama menunggu Driver. Sudah 1 jam menunggu, pesanan tidak bisa dibatalkan. CS pun cuma BOT yang tidak membantu sama sekali.",2025-11-26,1,negatif
Edo Satrio,1,- kebanyakan update aplikasi sistem 🙏🙏🙏,2025-11-26,2,negatif
Henry Henry,2,apknya lemot,2025-11-26,1,negatif
